Hour,Thruster_Efficiency,Solar_Array_Temp
1,98.3144373320883,45.58619403873237
2,98.70838226811863,44.931311597277336
3,99.08134591299844,44.99893272415294
4,98.06446504201361,44.98133861763909
5,97.97923611472622,45.42688848395192
6,98.77868362385786,45.096625906065825
7,98.69749203510389,44.80237518384258
8,100.0290398142506,44.61989573874411
9,98.83734087215808,45.25286780558306
10,98.76707344389307,45.3091333746606
11,98.03510208988149,44.98246493944106
12,99.15604321938152,44.09705504214692
13,98.79433839533404,45.229876027721645
14,98.93442248214097,44.67523320263678
15,98.67201319781068,45.18734072132319
16,99.07656115597975,44.85026445301902
17,99.05395185488493,44.717776853172445
18,97.92288267564652,44.78616384485124
19,98.93733757807819,45.06287593894217
20,99.07732010269756,44.830214759865
21,98.32528973658394,45.038068269372886
22,98.71352294395209,45.22609371038066
23,98.02695731936139,45.27102136940969
24,99.00434313687255,45.20740385507093
25,99.2268196770032,45.513809891581
26,98.82312283518775,44.571142680223886
27,98.84368328555894,44.99635877018503
28,99.04360376730759,45.37922998745931
29,99.95466099919963,44.830436394061444
30,99.05398945596687,44.92574048309027
31,98.73643387552225,45.160856676141904
32,99.73118774242437,45.35124277741054
33,98.11753353602731,45.01215743372962
34,99.36778070852674,45.20769276353008
35,98.72595015843288,45.476158744852235
36,99.4488011101993,44.31458624002099
37,97.53770027206961,44.455744753222724
38,98.91500940618259,44.63587285831631
39,99.66317313473982,45.03588528096752
40,99.09910052266619,44.795774924066116
41,99.17751241070658,45.403055219163996
42,98.72079454709551,44.70187111518297
43,99.1011733492447,45.10242473531555
44,98.91582102510496,44.66302189495022
45,99.84605861983384,44.89493156443457
46,98.66673218597677,45.06517030158215
47,98.85142702182084,44.212326859554125
48,98.71337149421393,45.777371823566284
49,99.56719787558563,45.23911599190435
50,98.835097819826,45.21702535714312
51,99.56784370299681,44.465953451762765
52,98.76016111461675,44.01267063727854
53,98.93313891026011,44.815800488048374
54,99.46686289725871,44.98714478304488
55,99.59919813070418,43.15493192035063
56,99.9702131081301,44.33984244771768
57,99.1336293820291,44.77190780706371
58,98.78275712751156,44.159809191452645
59,99.12404220047652,45.76801519198923
60,99.320904129944,44.82120889748146
61,99.3786433230089,44.52108215788899
62,99.17835986260647,44.112763784797096
63,99.26626226247797,45.37905300082637
